No.,Left,Right,Check
1,2,0,0
2,4,0,1
3,2,1.5,1
4,3,1.5,1
5,3,4,0
6,1,1.5,0
7,2.5,0.5,1
8,2.5,1,1
9,1,4,0
10,4,3.5,0
11,4,3,0
12,3.5,4,0
13,3,2.5,0
14,3.5,1.5,1
15,0,1.5,1
16,1,3,0
17,1.5,4,0
18,0.5,4,0
19,3.5,3,1
20,3,0.5,1
21,0.5,3.5,0
22,1.5,3.5,0
23,0,2.5,0
24,0,1,1
25,2,2.5,0
26,0.5,1,1
27,4,1,1
28,3.5,0,1
29,1.5,1,1
30,0,3,0
31,3,0,1
32,3,2,1
33,1.5,3,0
34,2.5,3,1
35,4,0.5,1
36,1,3.5,0
37,0.5,3,0
38,0.5,2,1
39,2,3,0
40,1.5,0.5,1
41,1,0.5,1
42,0,3.5,0
43,4,2,1
44,3.5,1,1
45,2.5,0,1
46,2.5,3.5,0
47,3.5,0.5,1
48,2,0.5,1
49,0,2,1
50,4,2.5,1
51,1.5,0,1
52,2,4,0
53,0.5,1.5,1
54,1.5,2.5,0
55,0,0.5,1
56,1,0,1
57,1.5,2,1
58,2.5,4,0
59,1,2,0
60,3.5,2,1
61,2.5,1.5,1
62,3,1,1
63,4,1.5,1
64,3.5,2.5,1
65,2,1,1
66,1,2.5,0
67,2,3.5,0
68,0,4,0
69,0.5,2.5,0
70,2.5,2,1
71,0.5,0,1
72,3,3.5,1
